feature,value,contribution,normalized_contribution
total_assets,3.7171109198676864,6.025211843498406,0.9015550703994646
financial_balance,2.8106941499849944,0.1956700905423419,0.029278200806221552
insurance_balance,4.422133150095123,0.1955935851367722,0.029266753269089927
deposit_balance,3.5579960126255594,0.1413629960474439,0.021152206621739878
fund_balance,3.8936280775516208,0.06782948811902823,0.01014935582759586
asset_cumulative_growth,0.0600307822754675,0.03813529615704932,0.005706200960995659
monthly_income,1.3754263006915235,0.010111135062364076,0.0015129335398894926
lifecycle_stage_忠诚客户,1.0,-0.00249634809692437,-0.00037352965218853803
app_financial_view_time,-0.262719718533071,0.001371216135094683,0.00020517566706673354
investment_monthly_count,-0.6147133984007888,-0.0008616673753476544,-0.0001289316643830105
occupation_type_互联网从业者,0.0,0.0007489414319978816,0.00011206443241967059
lifecycle_stage_成长客户,0.0,-0.0007424676143944361,-0.00011109575227417071
lifecycle_stage_成熟客户,0.0,-0.0007168647039054711,-0.00010726477763496073
credit_card_monthly_expense,1.58944967800826,0.0007040588368706416,0.00010534863017724605
product_count,0.486571598872663,-0.0006759981475453313,-0.00010114989702109386
age,0.3645848681860669,-0.00044357371916614846,-6.637212864834188e-05
lifecycle_stage_价值客户,0.0,0.00029188218945843547,4.3674459039893054e-05
asset_growth_rate,-0.8607910984747951,-8.821823810074229e-05,-1.320013336083002e-05
app_login_count,1.2935351315066823,-6.345558052518402e-05,-9.494886130742948e-06
asset_mom_change,0.8019154384294375,1.3209175359913997e-05,1.9764946579225265e-06
fund_balance_rolling_max,4.992154325364842,0.0,0.0
fund_balance_rolling_mean,5.146886605192169,0.0,0.0
financial_balance_rolling_std,4.091030978795884,0.0,0.0
financial_balance_rolling_max,3.8574001031366087,0.0,0.0
financial_balance_rolling_mean,3.758713636168784,0.0,0.0
total_assets_rolling_std,1.44425309749064,0.0,0.0
total_assets_rolling_max,4.050567139392392,0.0,0.0
total_assets_rolling_mean,4.08137249170306,0.0,0.0
occupation_type_专业人士,1.0,0.0,0.0
occupation_type_事业单位,0.0,0.0,0.0
lifecycle_stage_新客户,0.0,0.0,0.0
financial_repurchase_count,-0.3695946105523208,0.0,0.0
occupation_type_企业高管,0.0,0.0,0.0
occupation_type_传统行业,0.0,0.0,0.0
occupation_type_私营业主,0.0,0.0,0.0
occupation_type_金融从业者,0.0,0.0,0.0
city_level_一线城市,1.0,0.0,0.0
city_level_二线城市,0.0,0.0,0.0
marriage_status_已婚,1.0,0.0,0.0
marriage_status_未婚,0.0,0.0,0.0
fund_balance_rolling_std,4.082742895750876,0.0,0.0
