feature,contribution
total_assets,6.022485391921314
financial_balance,0.19578777074037018
insurance_balance,0.19552214357911626
deposit_balance,0.1413629960474439
fund_balance,0.06782948811902823
asset_cumulative_growth,0.03813529615704932
monthly_income,0.009257620541104836
product_count,0.0026318346421316417
app_financial_view_time,0.0013898088005539903
occupation_type_互联网从业者,0.0007489414319978816
investment_monthly_count,0.0007234731030109486
lifecycle_stage_价值客户,0.0003326451960470962
app_login_count,0.00016933448488934243
financial_repurchase_count,0.0
financial_balance_rolling_max,0.0
total_assets_rolling_mean,0.0
total_assets_rolling_max,0.0
total_assets_rolling_std,0.0
fund_balance_rolling_mean,0.0
fund_balance_rolling_max,0.0
financial_balance_rolling_mean,0.0
financial_balance_rolling_std,0.0
fund_balance_rolling_std,0.0
lifecycle_stage_新客户,0.0
city_level_一线城市,0.0
occupation_type_专业人士,0.0
occupation_type_事业单位,0.0
occupation_type_企业高管,0.0
occupation_type_传统行业,0.0
occupation_type_私营业主,0.0
occupation_type_金融从业者,0.0
city_level_二线城市,0.0
marriage_status_已婚,0.0
marriage_status_未婚,0.0
asset_mom_change,-5.21824560481712e-05
asset_growth_rate,-0.00011573892340039561
age,-0.0004888984160930437
lifecycle_stage_成熟客户,-0.0006401655167914186
lifecycle_stage_成长客户,-0.000731331181012409
credit_card_monthly_expense,-0.001089910413603203
lifecycle_stage_忠诚客户,-0.002303369000830024
