feature,value,contribution,normalized_contribution
total_assets,-0.7580363511849165,-1.1711277394755248,-0.8794998650502014
financial_balance,-0.7560247816305898,-0.0479389381314569,-0.03600144390410235
fund_balance,-0.7374336632870794,-0.03726057290405752,-0.027982147238257475
deposit_balance,-0.7101200742084346,-0.033412276552699724,-0.02509213276109369
monthly_income,-0.801934358033712,-0.028651956028065452,-0.021517201421079057
insurance_balance,-0.7290336680341758,-0.005382116241109532,-0.004041890861418927
product_count,-0.709066578884659,-0.001415667132401293,-0.001063145385370631
age,-0.6756595628401445,0.0010858059512202343,0.0008154244454977827
lifecycle_stage_忠诚客户,0.0,0.0010344457490693835,0.0007768536821745147
investment_monthly_count,-0.6147133984007888,-0.0009034304638240867,-0.0006784631122915439
lifecycle_stage_成熟客户,0.0,-0.0007602851381295347,-0.0005709630588069371
lifecycle_stage_成长客户,0.0,-0.0007266842268632023,-0.0005457292641249517
asset_cumulative_growth,-0.7051842128295904,-0.000618910240522133,-0.0004647925710146493
credit_card_monthly_expense,-0.1861733271640993,-0.000492833025518323,-0.0003701104199186344
asset_growth_rate,2.6575231427641626,0.0003061402724051646,0.00022990688307609775
app_login_count,-1.10090789137099,0.00022962261396419572,0.00017244323670825764
lifecycle_stage_价值客户,0.0,0.00011160700252698497,8.381523240590285e-05
occupation_type_互联网从业者,0.0,6.695064625835396e-05,5.027895964245211e-05
asset_mom_change,-0.431787600168714,-5.405493917738906e-05,-4.059447155875695e-05
app_financial_view_time,-0.7953640692453693,3.725826303598118e-06,2.798041256099474e-06
financial_balance_rolling_std,-0.4788203737454214,0.0,0.0
financial_balance_rolling_max,-0.6110116738607754,0.0,0.0
fund_balance_rolling_mean,-0.5951094109018901,0.0,0.0
total_assets_rolling_std,-0.4793036434986999,0.0,0.0
total_assets_rolling_max,-0.6099636687068796,0.0,0.0
total_assets_rolling_mean,-0.6103984655636591,0.0,0.0
fund_balance_rolling_max,-0.6001673577238062,0.0,0.0
financial_balance_rolling_mean,-0.6204405034242949,0.0,0.0
occupation_type_金融从业者,0.0,0.0,0.0
financial_repurchase_count,-0.3695946105523208,0.0,0.0
city_level_一线城市,1.0,0.0,0.0
occupation_type_专业人士,0.0,0.0,0.0
occupation_type_事业单位,0.0,0.0,0.0
occupation_type_企业高管,0.0,0.0,0.0
occupation_type_传统行业,1.0,0.0,0.0
occupation_type_私营业主,0.0,0.0,0.0
lifecycle_stage_新客户,1.0,0.0,0.0
marriage_status_未婚,0.0,0.0,0.0
marriage_status_已婚,1.0,0.0,0.0
city_level_二线城市,0.0,0.0,0.0
fund_balance_rolling_std,-0.5566304190843744,0.0,0.0
